"Gm","Date","Tm","H_A","Opp","Result","R","RA","Inn","Record","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","cLI","Streak","Orig_Scheduled","Year"
"1","Thursday, Mar 28","ARI","A","LAD","L",5,"12","","0-1",4,"1.0","Ryu","Greinke","","2:49","D",53086,"1.08",-1,"",2019
"2","Friday, Mar 29","ARI","A","LAD","W",5,"4","13","1-1",3,"1.0","Andriese","Garcia","Holland","6:05","N",42266,".99",1,"",2019
"3","Saturday, Mar 30","ARI","A","LAD","L",5,"18","","1-2",4,"1.0","Maeda","Godley","","3:14","N",50626,"1.06",-1,"",2019
"4","Sunday, Mar 31","ARI","A","LAD","L",7,"8","","1-3",4,"2.0","Floro","Hirano","Jansen","3:29","D",43815,"1.04",-2,"",2019
"5","Monday, Apr 1","ARI","A","SDP","W",10,"3","","2-3",3,"1.0","Kelly","Strahm","Duplantier","3:04","N",18683,".98",1,"",2019
"6","Tuesday, Apr 2","ARI","A","SDP","W",8,"5","","3-3",2,"1.0","Greinke","Lauer","Holland","3:21","N",22504,"1.05",2,"",2019
"7","Wednesday, Apr 3","ARI","A","SDP","L",1,"4","","3-4",3,"2.0","Lucchesi","Ray","","2:59","D",19376,"1.14",-1,"",2019
"8","Friday, Apr 5","ARI","H","BOS","W",15,"8","","4-4",3,"2.0","Godley","Porcello","","3:23","D",48338,".91",1,"",2019
"9","Saturday, Apr 6","ARI","H","BOS","W-wo",5,"4","","5-4",3,"2.0","Holland","Brewer","","3:19","N",35969,".94",2,"",2019
"10","Sunday, Apr 7","ARI","H","BOS","L",0,"1","","5-5",3,"3.0","Walden","Kelly","Brasier","2:29","D",31565,".98",-1,"",2019
"11","Tuesday, Apr 9","ARI","H","TEX","W-wo",5,"4","","6-5",3,"1.5","Andriese","Leclerc","","2:48","N",16620,".96",1,"",2019
"12","Wednesday, Apr 10","ARI","H","TEX","L",2,"5","","6-6",3,"1.5","Lynn","Chafin","Bird","3:35","N",15871,".98",-1,"",2019
"13","Thursday, Apr 11","ARI","H","SDP","L",6,"7","","6-7",3,"2.5","Stammen","Bradley","Wingenter","3:13","N",15449,"1.16",-2,"",2019
"14","Friday, Apr 12","ARI","H","SDP","L",1,"2","","6-8",3,"3.5","Reyes","Weaver","Yates","2:38","N",22209,"1.11",-3,"",2019
"15","Saturday, Apr 13","ARI","H","SDP","L",4,"5","","6-9",4,"4.5","Stammen","Andriese","Yates","3:41","N",27256,"1.08",-4,"",2019
"16","Sunday, Apr 14","ARI","H","SDP","W",8,"4","","7-9",3,"3.5","Greinke","Lauer","","2:49","D",25489,"1.02",1,"",2019
"17","Tuesday, Apr 16","ARI","A","ATL","W",9,"6","","8-9",3,"2.0","Hirano","Minter","Holland","3:36","N",22407,".92",2,"",2019
"18","Wednesday, Apr 17","ARI","A","ATL","W",3,"2","10","9-9",3,"2.0","Bradley","Biddle","Holland","3:32","N",22356,".96",3,"",2019
"19","Thursday, Apr 18","ARI","A","ATL","W",4,"1","","10-9",3,"2.0","Weaver","Soroka","Hirano","3:25","D",24193,".97",4,"",2019
"20","Friday, Apr 19","ARI","A","CHC","L",1,"5","","10-10",3,"3.0","Hendricks","Kelly","Strop","3:24","D",33938,"1.00",-1,"",2019
"21","Saturday, Apr 20","ARI","A","CHC","W",6,"0","","11-10",2,"2.0","Greinke","Darvish","Clarke","3:08","D",37667,".99",1,"",2019
"22","Sunday, Apr 21","ARI","A","CHC","L-wo",1,"2","","11-11",3,"3.0","Strop","Bradley","","2:28","D",38181,"1.09",-1,"",2019
"23","Monday, Apr 22","ARI","A","PIT","W",12,"4","","12-11",2,"2.5","Andriese","Crick","","3:35","N",9233,"1.02",1,"",2019
"24","Tuesday, Apr 23","ARI","A","PIT","W",2,"1","","13-11",2,"1.5","Weaver","Williams","Holland","2:53","N",8558,"1.08",2,"",2019
"25","Wednesday, Apr 24","ARI","A","PIT","W",11,"2","","14-11",2,"0.5","Kelly","Lyles","","2:49","N",9450,"1.10",3,"",2019
"26","Thursday, Apr 25","ARI","A","PIT","W",5,"0","","15-11",2,"0.5","Greinke","Taillon","","2:41","D",9365,"1.14",4,"",2019
"27","Friday, Apr 26","ARI","H","CHC","W",8,"3","","16-11",2,"0.5","Ray","Hendricks","Andriese","3:04","N",30664,"1.21",5,"",2019
"28","Saturday, Apr 27","ARI","H","CHC","L",1,"9","","16-12",3,"1.5","Darvish","Godley","","3:05","N",27793,"1.19",-1,"",2019
"29","Sunday, Apr 28","ARI","H","CHC","L",5,"6","15","16-13",3,"2.5","Chatwood","Andriese","Webster","5:36","D",29477,"1.16",-2,"",2019
"30","Tuesday, Apr 30","ARI","H","NYY","W",3,"1","","17-13",2,"2.0","Greinke","Sabathia","Holland","2:33","N",36352,"1.08",1,"",2019
"31","Wednesday, May 1","ARI","H","NYY","W",3,"2","","18-13",2,"1.0","Kelly","Tanaka","Holland","3:12","D",31365,"1.12",2,"",2019
"32","Friday, May 3","ARI","A","COL","W",10,"9","","19-13",2,"1.0","Ray","Anderson","Holland","3:24","N",29574,"1.32",3,"",2019
"33","Saturday, May 4","ARI","A","COL","W",9,"2","","20-13",2,"1.0","Weaver","Freeland","","2:51","N",37765,"1.32",4,"",2019
"34","Sunday, May 5","ARI","A","COL","L",7,"8","","20-14",2,"1.0","Oberg","Bradley","Davis","3:09","D",40262,"1.31",-1,"",2019
"35","Monday, May 6","ARI","A","TBR","L",1,"12","","20-15",2,"2.0","Snell","Kelly","","2:54","N",8124,"1.18",-2,"",2019
"36","Tuesday, May 7","ARI","A","TBR","L",3,"6","","20-16",2,"3.0","Beeks","Clarke","","3:19","N",8059,"1.18",-3,"",2019
"37","Wednesday, May 8","ARI","A","TBR","W",3,"2","13","21-16",2,"3.0","Bradley","Kolarek","Godley","4:39","D",8663,"1.14",1,"",2019
"38","Thursday, May 9","ARI","H","ATL","W-wo",3,"2","10","22-16",2,"2.0","Duplantier","Minter","","3:13","N",17751,"1.17",2,"",2019
"39","Friday, May 10","ARI","H","ATL","L",1,"2","","22-17",2,"3.0","Winkler","López","Jackson","3:00","N",21932,"1.23",-1,"",2019
"40","Saturday, May 11","ARI","H","ATL","L",4,"6","","22-18",2,"3.0","Gausman","Kelly","Venters","3:09","N",33168,"1.16",-2,"",2019
"41","Sunday, May 12","ARI","H","ATL","L",3,"5","","22-19",2,"4.0","Fried","Godley","Jackson","3:21","D",27460,"1.15",-3,"",2019
"42","Monday, May 13","ARI","H","PIT","W",9,"3","","23-19",2,"3.5","Ray","Kingham","","3:27","N",15418,"1.14",1,"",2019
"43","Tuesday, May 14","ARI","H","PIT","L",2,"6","","23-20",2,"4.5","Musgrove","Weaver","","2:45","N",21047,"1.19",-1,"",2019
"44","Wednesday, May 15","ARI","H","PIT","W",11,"1","","24-20",2,"4.5","Greinke","Archer","","2:58","D",17258,"1.11",1,"",2019
"45","Friday, May 17","ARI","H","SFG","W",7,"0","","25-20",2,"4.5","Kelly","Samardzija","","3:06","N",26806,"1.14",2,"",2019
"46","Saturday, May 18","ARI","H","SFG","L",5,"8","","25-21",2,"4.5","Bumgarner","Godley","","3:24","N",25014,"1.21",-1,"",2019
"47","Sunday, May 19","ARI","H","SFG","L",2,"3","10","25-22",2,"5.5","Dyson","Hirano","Smith","3:28","D",24061,"1.21",-2,"",2019
"48","Monday, May 20","ARI","A","SDP","L",1,"2","","25-23",2,"6.0","Paddack","Weaver","Yates","2:40","N",17578,"1.18",-3,"",2019
"49","Tuesday, May 21","ARI","A","SDP","L",2,"3","","25-24",2,"7.0","Strahm","Greinke","Yates","2:21","N",19969,"1.15",-4,"",2019
"50","Wednesday, May 22","ARI","A","SDP","L",2,"5","","25-25",3,"7.0","Lauer","Kelly","Yates","2:57","D",18715,"1.05",-5,"",2019
"51","Friday, May 24","ARI","A","SFG","W",18,"2","","26-25",3,"7.0","Ray","Pomeranz","Godley","3:35","N",31777,".96",1,"",2019
"52","Saturday, May 25","ARI","A","SFG","W",10,"4","","27-25",3,"7.0","Clarke","Suarez","","3:06","D",31531,".96",2,"",2019
"53","Sunday, May 26","ARI","A","SFG","W",6,"2","","28-25",2,"7.0","Weaver","Anderson","Holland","3:17","D",37017,"1.01",3,"",2019
"54","Monday, May 27","ARI","A","COL","L-wo",3,"4","11","28-26",2,"8.0","Oh","Andriese","","4:23","D",35604,"1.09",-1,"",2019
"55","Tuesday, May 28","ARI","A","COL","L",2,"6","","28-27",3,"8.0","Diaz","Kelly","Bettis","3:02","N",21583,"1.03",-2,"",2019
"56","Wednesday, May 29","ARI","A","COL","L",4,"5","","28-28",3,"9.0","Hoffman","Ray","Oberg","3:11","N",24261,"1.01",-3,"",2019
"57","Thursday, May 30","ARI","A","COL","L-wo",10,"11","10","28-29",4,"10.0","Oh","Hirano","","3:51","D",30371,".95",-4,"",2019
"58","Friday, May 31","ARI","H","NYM","L",4,"5","","28-30",4,"11.0","Wheeler","Andriese","Gsellman","3:14","N",24664,".80",-5,"",2019
"59","Saturday, Jun 1","ARI","H","NYM","W-wo",6,"5","11","29-30",4,"11.0","Hirano","Bashlor","","3:42","N",34888,".69",1,"",2019
"60","Sunday, Jun 2","ARI","H","NYM","W",7,"1","","30-30",4,"11.0","Kelly","Matz","","2:37","D",26945,".77",2,"",2019
"61","Monday, Jun 3","ARI","H","LAD","L",1,"3","","30-31",4,"12.0","Buehler","Ray","Jansen","2:26","N",24124,".92",-1,"",2019
"62","Tuesday, Jun 4","ARI","H","LAD","L",0,"9","","30-32",4,"13.0","Ryu","Clarke","","3:07","N",29784,".79",-2,"",2019
"63","Wednesday, Jun 5","ARI","H","LAD","W-wo",3,"2","11","31-32",4,"12.0","Godley","Alexander","","3:27","D",22753,".72",1,"",2019
"64","Friday, Jun 7","ARI","A","TOR","W",8,"2","","32-32",4,"11.0","Kelly","Stroman","","2:50","N",16555,".68",2,"",2019
"65","Saturday, Jun 8","ARI","A","TOR","W",6,"0","","33-32",3,"11.0","Greinke","Sanchez","","3:09","D",22954,".73",3,"",2019
"66","Sunday, Jun 9","ARI","A","TOR","W",8,"2","","34-32",2,"11.0","Ray","Richard","","3:04","D",19661,".79",4,"",2019
"67","Monday, Jun 10","ARI","A","PHI","W",13,"8","","35-32",2,"10.0","Godley","Eickhoff","","3:50","N",26255,".92",5,"",2019
"68","Tuesday, Jun 11","ARI","A","PHI","L",4,"7","","35-33",3,"10.0","Arrieta","Duplantier","Neris","3:16","N",26321,".96",-1,"",2019
"69","Wednesday, Jun 12","ARI","A","PHI","W",2,"0","","36-33",2,"9.5","Kelly","Eflin","Holland","2:16","N",29047,".95",1,"",2019
"70","Thursday, Jun 13","ARI","A","WSN","W",5,"0","","37-33",2,"9.5","Greinke","Fedde","","2:15","N",24909,".99",2,"",2019
"71","Friday, Jun 14","ARI","A","WSN","L",3,"7","","37-34",2,"10.5","Scherzer","Ray","","2:57","N",29853,"1.03",-1,"",2019
"72","Saturday, Jun 15","ARI","A","WSN","W",10,"3","","38-34",2,"9.5","Hirano","Strasburg","","3:30","D",38044,".96",1,"",2019
"73","Sunday, Jun 16","ARI","A","WSN","L",5,"15","","38-35",2,"10.5","Sanchez","Bradley","","3:14","D",29032,"1.05",-1,"",2019
"74","Tuesday, Jun 18","ARI","H","COL","L",1,"8","","38-36",3,"11.0","Senzatela","Kelly","","2:51","N",22954,"1.06",-2,"",2019
"75","Wednesday, Jun 19","ARI","H","COL","L",4,"6","","38-37",3,"12.0","Gray","Greinke","Davis","2:55","N",21773,"1.00",-3,"",2019
"76","Thursday, Jun 20","ARI","H","COL","L",4,"6","10","38-38",4,"13.0","Oberg","Hirano","","4:08","D",23294,".88",-4,"",2019
"77","Friday, Jun 21","ARI","H","SFG","L",5,"11","","38-39",4,"14.0","Samardzija","Clarke","","3:09","N",29312,".75",-5,"",2019
"78","Saturday, Jun 22","ARI","H","SFG","L",4,"7","","38-40",4,"15.0","Gott","Godley","Smith","3:20","N",32082,".65",-6,"",2019
"79","Sunday, Jun 23","ARI","H","SFG","W-wo",3,"2","10","39-40",3,"15.0","Andriese","Melancon","","3:13","D",25071,".60",1,"",2019
"80","Monday, Jun 24","ARI","H","LAD","W",8,"5","","40-40",3,"14.0","López","Floro","Holland","3:12","N",24675,".69",2,"",2019
"81","Tuesday, Jun 25","ARI","H","LAD","L",2,"3","","40-41",3,"15.0","Urias","Ray","Jansen","3:07","N",27927,".80",-1,"",2019
"82","Wednesday, Jun 26","ARI","H","LAD","W",8,"2","","41-41",3,"14.0","Clarke","Gonsolin","","3:01","D",28752,".69",1,"",2019
"83","Thursday, Jun 27","ARI","A","SFG","W",5,"1","","42-41",3,"14.0","Young","Beede","","2:42","N",30790,".74",2,"",2019
"84","Friday, Jun 28","ARI","A","SFG","L",3,"6","","42-42",4,"14.0","Anderson","Kelly","","3:07","N",35391,".76",-1,"",2019
"85","Saturday, Jun 29","ARI","A","SFG","W",4,"3","","43-42",4,"13.0","Greinke","Dyson","Holland","3:18","N",31600,".72",1,"",2019
"86","Sunday, Jun 30","ARI","A","SFG","L",4,"10","","43-43",4,"14.0","Bumgarner","Ray","","3:09","D",31778,".77",-1,"",2019
"87","Tuesday, Jul 2","ARI","A","LAD","L-wo",4,"5","","43-44",3,"15.0","Garcia","Holland","","3:26","N",52969,".79",-2,"",2019
"88","Wednesday, Jul 3","ARI","A","LAD","L-wo",4,"5","10","43-45",3,"16.0","Kelly","López","","3:19","N",53327,".71",-3,"",2019
"89","Friday, Jul 5","ARI","H","COL","W",8,"0","","44-45",3,"15.5","Greinke","Senzatela","","2:52","N",43056,".66",1,"",2019
"90","Saturday, Jul 6","ARI","H","COL","W",4,"2","","45-45",2,"14.5","Ray","Gray","Holland","3:11","N",28276,".73",2,"",2019
"91","Sunday, Jul 7","ARI","H","COL","W",5,"3","","46-45",2,"13.5","Young","Marquez","Holland","2:36","D",22964,".81",3,"",2019
"92","Friday, Jul 12","ARI","A","STL","W",4,"2","","47-45",2,"12.5","Ray","Miller","Holland","2:56","N",44960,".86",4,"",2019
"93","Saturday, Jul 13","ARI","A","STL","L",2,"4","","47-46",2,"13.5","Hudson","Kelly","Martinez","3:04","N",46152,".89",-1,"",2019
"94","Sunday, Jul 14","ARI","A","STL","L",2,"5","","47-47",2,"14.5","Wainwright","Greinke","Martinez","2:52","D",43439,".87",-2,"",2019
"95","Tuesday, Jul 16","ARI","A","TEX","W",9,"2","","48-47",2,"14.0","Young","Lynn","","3:23","N",19202,".74",1,"",2019
"96","Wednesday, Jul 17","ARI","A","TEX","W",19,"4","","49-47",2,"14.0","Ray","Chavez","","3:14","N",26681,".80",2,"",2019
"97","Thursday, Jul 18","ARI","H","MIL","L",1,"5","","49-48",2,"14.0","Davies","López","","2:59","N",23985,".94",-1,"",2019
"98","Friday, Jul 19","ARI","H","MIL","W",10,"7","","50-48",2,"14.0","Bradley","Chacin","Holland","3:44","N",28505,".87",1,"",2019
"99","Saturday, Jul 20","ARI","H","MIL","L",3,"8","","50-49",2,"15.0","Houser","Chafin","","3:17","N",38567,".93",-1,"",2019
"100","Sunday, Jul 21","ARI","H","MIL","L",4,"7","","50-50",2,"16.0","Peralta","López","Hader","3:39","D",33111,".87",-2,"",2019
"101","Monday, Jul 22","ARI","H","BAL","W",6,"3","","51-50",2,"15.5","Ray","Brooks","Holland","2:55","N",19192,".68",1,"",2019
"102","Tuesday, Jul 23","ARI","H","BAL","L",2,"7","","51-51",3,"15.5","Bundy","Kelly","","2:57","N",20253,".75",-1,"",2019
"103","Wednesday, Jul 24","ARI","H","BAL","W",5,"2","","52-51",2,"14.5","Clarke","Means","López","3:24","D",20452,".67",1,"",2019
"104","Friday, Jul 26","ARI","A","MIA","L-wo",2,"3","","52-52",3,"15.5","Quijada","Holland","","3:10","N",8867,".71",-1,"",2019
"105","Saturday, Jul 27","ARI","A","MIA","W",9,"2","","53-52",2,"15.5","Young","Yamamoto","","2:49","N",13047,".65",1,"",2019
"106","Sunday, Jul 28","ARI","A","MIA","L",1,"5","","53-53",3,"15.5","Quijada","Ray","","3:11","D",11538,".76",-1,"",2019
"107","Monday, Jul 29","ARI","A","MIA","L",6,"11","","53-54",3,"15.5","Smith","Kelly","","2:59","N",7048,".68",-2,"",2019
"108","Tuesday, Jul 30","ARI","A","NYY","W",4,"2","","54-54",3,"15.5","Clarke","Happ","Bradley","3:10","N",47281,".61",1,"",2019
"109","Wednesday, Jul 31","ARI","A","NYY","L",5,"7","","54-55",3,"16.5","Ottavino","Hirano","Chapman","3:43","D",43979,".70",-1,"",2019
"110","Friday, Aug 2","ARI","H","WSN","L",0,"3","","54-56",3,"17.0","Ross","Young","Doolittle","2:43","N",24298,".71",-2,"",2019
"111","Saturday, Aug 3","ARI","H","WSN","W",18,"7","","55-56",3,"17.0","Ray","Strasburg","","3:46","N",33966,".64",1,"",2019
"112","Sunday, Aug 4","ARI","H","WSN","W",7,"5","","56-56",2,"17.0","Hirano","Suero","Bradley","3:07","D",22976,".73",2,"",2019
"113","Monday, Aug 5","ARI","H","PHI","L",3,"7","","56-57",2,"18.0","Velasquez","Kelly","","3:05","N",18319,".83",-1,"",2019
"114","Tuesday, Aug 6","ARI","H","PHI","W",8,"4","","57-57",2,"18.0","Chafin","Suarez","","3:19","N",17446,".70",1,"",2019
"115","Wednesday, Aug 7","ARI","H","PHI","W",6,"1","","58-57",2,"18.0","Gallen","Vargas","","3:10","N",18140,".79",2,"",2019
"116","Friday, Aug 9","ARI","A","LAD","W",3,"2","11","59-57",2,"17.0","Chafin","Urias","Bradley","3:49","N",49538,".73",3,"",2019
"117","Saturday, Aug 10","ARI","A","LAD","L",0,"4","","59-58",2,"18.0","Maeda","Young","","3:18","N",52606,".81",-1,"",2019
"118","Sunday, Aug 11","ARI","A","LAD","L",3,"9","","59-59",2,"19.0","Ryu","Leake","","2:40","D",44619,".72",-2,"",2019
"119","Monday, Aug 12","ARI","A","COL","W",8,"6","","60-59",2,"18.5","Kelly","Bettis","Bradley","3:30","N",32160,".67",1,"",2019
"120","Tuesday, Aug 13","ARI","A","COL","W",9,"3","","61-59",2,"18.5","Ginkel","Hoffman","","3:32","N",31815,".75",2,"",2019
