"pay_rank","Team_Name","League","Division","Team_Payroll","W","L","WPct","Rank","lgRank","mlbRank","Last_Yr_Payroll","Top_Salary","Team"
1,"Boston Red Sox","AL","East",222171123,84,78,0.519,3,7,15,235649368,"David Price (5)","BOS"
2,"Chicago Cubs","NL","Central",210358488,84,78,0.519,3,8,14,183463459,"Jon Lester (12)","CHC"
3,"New York Yankees","AL","East",208084848,103,59,0.636,1,2,3,168541038,"Giancarlo Stanton (13)","NYY"
4,"Los Angeles Dodgers","NL","West",196729548,106,56,0.654,1,1,2,186138211,"Clayton Kershaw (6)","LAD"
5,"San Francisco Giants","NL","West",178286222,77,85,0.475,3,10,18,208509901,"Johnny Cueto (22)","SFG"
6,"St. Louis Cardinals","NL","Central",162830430,91,71,0.562,1,4,10,161005146,"Yadier Molina (39)","STL"
7,"Washington Nationals","NL","East",161877935,93,69,0.574,2,3,9,181586759,"Max Scherzer (1)","WSN"
8,"Houston Astros","AL","West",160774666,107,55,0.66,1,1,1,159529730,"Justin Verlander (9)","HOU"
9,"Los Angeles Angels","AL","West",159378583,72,90,0.444,4,11,22,174592209,"Mike Trout (3)","LAA"
10,"New York Mets","NL","East",158999270,86,76,0.531,3,6,12,155765125,"Yoenis Cespedes (8)","NYM"
11,"Seattle Mariners","AL","West",150906143,69,84,0.451,5,9,20,162480174,"Felix Hernandez (11)","SEA"
12,"Colorado Rockies","NL","West",147433009,71,91,0.438,4,12,23,141339833,"Nolan Arenado (14)","COL"
13,"Philadelphia Phillies","NL","East",140711962,81,81,0.5,4,9,16,96848371,"Jake Arrieta (16)","PHI"
14,"Texas Rangers","AL","West",127660652,78,84,0.481,3,8,17,144498078,"Shin-Soo Choo (33)","TEX"
15,"Cincinnati Reds","NL","Central",126423214,75,87,0.463,4,11,19,101185579,"Joey Votto (17)","CIN"
16,"Milwaukee Brewers","NL","Central",124755400,89,73,0.549,2,5,11,90237112,"Yasmani Grandal (53)","MIL"
17,"Arizona Diamondbacks","NL","West",123932983,85,77,0.525,2,7,13,132495446,"Zack Greinke (4)","ARI"
18,"Minnesota Twins","AL","Central",121276933,101,61,0.623,1,3,4,131374996,"Nelson Cruz (80)","MIN"
19,"Cleveland Indians","AL","Central",119241701,93,69,0.574,2,6,8,137346173,"Carlos Santana (34)","CLE"
20,"Detroit Tigers","AL","Central",116478400,47,114,0.292,5,15,30,129917192,"Miguel Cabrera (7)","DET"
21,"Atlanta Braves","NL","East",113778369,97,65,0.599,1,2,5,120542785,"Josh Donaldson (21)","ATL"
22,"Toronto Blue Jays","AL","East",112037006,67,95,0.414,4,12,26,162664502,"Justin Smoak (167)","TOR"
23,"Kansas City Royals","AL","Central",100658316,59,103,0.364,4,13,27,129967987,"Alex Gordon (32)","KCR"
24,"San Diego Padres","NL","West",99205017,70,92,0.432,5,13,24,96131798,"Eric Hosmer (26)","SDP"
25,"Oakland Athletics","AL","West",92318333,97,65,0.599,2,4,6,68534631,"Khris Davis (63)","OAK"
26,"Chicago White Sox","AL","Central",89354534,72,89,0.447,3,10,21,72177640,"Jose Abreu (65)","CHW"
27,"Pittsburgh Pirates","NL","Central",76589154,69,93,0.426,5,14,25,87860654,"Francisco Cervelli (111)","PIT"
28,"Baltimore Orioles","AL","East",72722906,54,108,0.333,5,14,29,143600045,"Chris Davis (31)","BAL"
29,"Miami Marlins","NL","East",72449404,57,105,0.352,5,15,28,98826644,"Wei-Yin Chen (42)","MIA"
30,"Tampa Bay Rays","AL","East",60444931,96,66,0.593,2,5,7,78231049,"Justin Smoak (166)","TBR"
