"Gm","Date","Tm","Opp","R","RA","Rank","Streak","cLI","day_of_week","weekend","Wins","Loses","Win_Prct","Games_Back","League","Division","Attendance","Gm_Opp","Opp_Opp","R_Opp","RA_Opp","Rank_Opp","Streak_Opp","cLI_Opp","Wins_Opp","Loses_Opp","Win_Prct_Opp","Games_Back_Opp","League_Opp","Division_Opp"
8,"Friday, Apr 5","ARI","BOS",15,8,3,1,0.91,"Friday",1,4,4,0.5,2,"NL","West",48338,9,"ARI",8,15,5,-2,0.78,2,7,0.222222222222222,4.5,"AL","East"
9,"Saturday, Apr 6","ARI","BOS",5,4,3,2,0.94,"Saturday",1,5,4,0.555555555555556,2,"NL","West",35969,10,"ARI",4,5,5,-3,0.74,2,8,0.2,4.5,"AL","East"
10,"Sunday, Apr 7","ARI","BOS",0,1,3,-1,0.98,"Sunday",1,5,5,0.5,3,"NL","West",31565,11,"ARI",1,0,4,1,0.67,3,8,0.272727272727273,4.5,"AL","East"
11,"Tuesday, Apr 9","ARI","TEX",5,4,3,1,0.96,"Tuesday",0,6,5,0.545454545454545,1.5,"NL","West",16620,11,"ARI",4,5,4,-4,0.88,5,6,0.454545454545455,5,"AL","West"
12,"Wednesday, Apr 10","ARI","TEX",2,5,3,-1,0.98,"Wednesday",0,6,6,0.5,1.5,"NL","West",15871,12,"ARI",5,2,4,1,0.83,6,6,0.5,5,"AL","West"
13,"Thursday, Apr 11","ARI","SDP",6,7,3,-2,1.16,"Thursday",0,6,7,0.461538461538462,2.5,"NL","West",15449,14,"ARI",7,6,1,2,1.32,9,5,0.642857142857143,-1,"NL","West"
14,"Friday, Apr 12","ARI","SDP",1,2,3,-3,1.11,"Friday",1,6,8,0.428571428571429,3.5,"NL","West",22209,15,"ARI",2,1,1,3,1.35,10,5,0.666666666666667,-2,"NL","West"
15,"Saturday, Apr 13","ARI","SDP",4,5,4,-4,1.08,"Saturday",1,6,9,0.4,4.5,"NL","West",27256,16,"ARI",5,4,1,4,1.36,11,5,0.6875,-3,"NL","West"
16,"Sunday, Apr 14","ARI","SDP",8,4,3,1,1.02,"Sunday",1,7,9,0.4375,3.5,"NL","West",25489,17,"ARI",4,8,1,-1,1.4,11,6,0.647058823529412,-2,"NL","West"
27,"Friday, Apr 26","ARI","CHC",8,3,2,5,1.21,"Friday",1,16,11,0.592592592592593,0.5,"NL","West",30664,24,"ARI",3,8,3,-2,1.03,12,12,0.5,2.5,"NL","Central"
